Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,300,,,,,,,,0.821052632,3.012048193,3.668520233,0,3.12,3.629904232,,1.835220914,,,,,,,,,,,,,,,,,,garcia
Hyperemic,301,,,,,,,,0.822222222,3,3.64864865,0,4.111111111,3.445945946,,2.094226982,,,,,,,,,,,,,,,,,,garcia
Hyperemic,302,,,,,,,,0.823529412,2.6,3.157142856,0,1.076923077,3.296428571,,1.047826568,,,,,,,,,,,,,,,,,,garcia
Hyperemic,303,,,,,,,,0.823529412,2.176470588,2.642857142,0,2.27027027,2.642857143,,1.519521066,,,,,,,,,,,,,,,,,,garcia
Hyperemic,304,,,,,,,,0.824175824,2.558139535,3.10387597,0,3.409090909,3.240310078,,1.919926631,,,,,,,,,,,,,,,,,,garcia
Hyperemic,305,,,,,,,,0.830357143,2.8125,3.387096774,0,2.066666667,3.175403226,,1.372980583,,,,,,,,,,,,,,,,,,garcia
Hyperemic,306,,,,,,,,0.833333333,2.15,2.580000001,0,1.976744186,2.630588235,,1.36416402,,,,,,,,,,,,,,,,,,garcia
Hyperemic,307,,,,,,,,0.833333333,2.636363636,3.163636364,0,2.413793103,3.502597403,,1.621984049,,,,,,,,,,,,,,,,,,garcia
Hyperemic,308,,,,,,,,0.833333333,3.461538462,4.153846156,0,1.666666667,4.153846154,,1.270318241,,,,,,,,,,,,,,,,,,garcia
Hyperemic,309,,,,,,,,0.834951456,2.538461538,3.040250448,0,1.303030303,3.040250447,,0.99201306,,,,,,,,,,,,,,,,,,garcia
Hyperemic,310,,,,,,,,0.835164835,2.916666667,3.492324562,0,2.171428571,3.530701754,,1.48860718,,,,,,,,,,,,,,,,,,garcia
Hyperemic,311,,,,,,,,0.838095238,2.888888889,3.446969697,0,3.384615385,3.446969697,,1.801154235,,,,,,,,,,,,,,,,,,garcia
Hyperemic,312,,,,,,,,0.838709677,2.230769231,2.659763315,0,2.689655172,2.716962525,,1.651947273,,,,,,,,,,,,,,,,,,garcia
Hyperemic,313,,,,,,,,0.838983051,2.533333333,3.019528619,0,2.605263158,2.738047138,,1.519838417,,,,,,,,,,,,,,,,,,garcia
Hyperemic,314,,,,,,,,0.84,2.047619048,2.437641724,0,1.953488372,2.583900227,,1.337835081,,,,,,,,,,,,,,,,,,garcia
Hyperemic,315,,,,,,,,0.841463415,3.333333333,3.961352655,0,1.38,3.913043478,,1.116655353,,,,,,,,,,,,,,,,,,garcia
