GeometryNumber,ColumnName,ImputedValue,NeighborGeometryNumbers
8,WSS_LE_Area_min,0.0,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
8,WSS_Area_Bifur_min,0.0010021680044772791,"[np.float64(87.0), np.float64(1.0), np.float64(18.0), np.float64(4.0), np.float64(91.0)]"
108,WSS_min,7.432222501703762,"[np.float64(54.0), np.float64(104.0), np.float64(45.0), np.float64(58.0), np.float64(39.0)]"
41,WSS_min,1.9819267234713809,"[np.float64(115.0), np.float64(112.0), np.float64(32.0), np.float64(47.0), np.float64(35.0)]"
12,WSS_TE,705.8312125763559,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_LE,827.4834391950626,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_TE_Area,0.22378292528516477,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_LE_Area,0.25448706092627565,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_Area_Bifur,0.8779691396777938,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_TE_min,15.393094653871708,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_LE_min,7.15808346078907,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_TE_Area_min,0.00047522454474854337,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_LE_Area_min,2.5722555389827202e-05,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
12,WSS_Area_Bifur_min,1.186943558977728e-05,"[np.float64(6.0), np.float64(99.0), np.float64(90.0), np.float64(16.0), np.float64(9.0)]"
15,WSS_TE,687.0195491687591,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_LE,827.8824062924992,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
15,WSS_TE_Area,0.22491431910526086,"[np.float64(12.0), np.float64(99.0), np.float64(6.0), np.float64(90.0), np.float64(9.0)]"
