Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,360,,,,,,,0.80952381,2.956521739,,1.88131632,,,,,,,,,1.4375,1.670036765,1.775735293,,,,,,,,,,1,garcia,0
Hyperemic,359,,,,,,,0.65,2.954545455,,2.259874692,,,,,,,,,1.375,1.565384615,2.115384615,,,,,,,,,,0,garcia,0
Hyperemic,358,,,,,,,0.53,2.944444444,,2.562204857,,,,,,,,,1.285714286,1.576819407,2.425876011,,,,,,,,,,0,garcia,0
Hyperemic,357,,,,,,,0.451923077,2.9375,,2.7482869,,,,,,,,,1.333333333,1.843971631,2.950354609,,,,,,,,,,0,garcia,0
Hyperemic,356,,,,,,,0.693181818,2.904761905,,2.187577184,,,,,,,,,1.4,1.698360656,2.019672132,,,,,,,,,,0,garcia,0
Hyperemic,355,,,,,,,0.654867257,2.846153846,,2.161769921,,,,,,,,,2.6,3.372972973,3.970270268,,,,,,,,,,1,garcia,0
Hyperemic,353,,,,,,,0.78021978,2.84,,1.905801988,,,,,,,,,1.923076923,2.491874323,2.464788733,,,,,,,,,,0,garcia,0
Hyperemic,354,,,,,,,0.788888889,2.84,,1.883525593,,,,,,,,,2.5,2.992957746,3.169014084,,,,,,,,,,1,garcia,0
Hyperemic,352,,,,,,,0.977011494,2.833333333,,0.747439496,,,,,,,,,2.5,2.647058824,2.55882353,,,,,,,,,,0,garcia,0
Hyperemic,351,,,,,,,0.987951807,2.827586207,,0.475856014,,,,,,,,,3.085106383,3.386092372,3.122729632,,,,,,,,,,0,garcia,0
Hyperemic,350,,,,,,,0.768421053,2.807692308,,1.913127994,,,,,,,,,1.857142857,2.467710372,2.416829744,,,,,,,,,,0,garcia,0
Hyperemic,348,,,,,,,0.311111111,2.8,,3.193043699,,,,,,,,,1.075268817,2.073732719,3.456221199,,,,,,,,,,0,garcia,0
Hyperemic,349,,,,,,,0.769230769,2.8,,1.926991287,,,,,,,,,2.5,2.821428571,3.250000001,,,,,,,,,,1,garcia,0
Hyperemic,347,,,,,,,0.895652174,2.783783784,,1.343429807,,,,,,,,,2.466666667,2.801941748,2.754045308,,,,,,,,,,0,garcia,0
Hyperemic,346,,,,,,,0.5,2.777777778,,2.589077004,,,,,,,,,1.058823529,1.503529412,2.117647058,,,,,,,,,,0,garcia,0
Hyperemic,345,,,,,,,0.769230769,2.75862069,,1.856067255,,,,,,,,,2.416666667,3.020833333,3.141666668,,,,,,,,,,1,garcia,0
Hyperemic,343,,,,,,,0.91,2.757575758,,1.317866639,,,,,,,,,2.538461538,2.928994083,2.789518174,,,,,,,,,,0,garcia,0
Hyperemic,344,,,,,,,0.978494624,2.757575758,,0.664654125,,,,,,,,,3.707865169,3.870848253,3.78935671,,,,,,,,,,0,garcia,0
Hyperemic,341,,,,,,,0.445945946,2.75,,2.855073374,,,,,,,,,1.558441558,1.794569067,3.49468713,,,,,,,,,,0,garcia,0
